tweet_id,text,label
1526607438635335680,"Awesome, so you agree that a biological male deserves a voice in the abortion conversation?",
1484659213833932801,"These are the opportunistic creatures produced when will not allow birth control education or practice and has zero problem letting sperm spreaders call the rules (and the muscles) on women. Instant ""Gratificationites."" ",
1493670156429635585,RT Every young person needs to know about their sexual reproductive health and rights to enable them make informed life choices. Great thanks to our dear partners and everyone that ensures that these young people access this information and service. #SafeLoveUG #10AndBold ,
1499196861864984576,"I mean other than their racist, anti-vax rhetoric, attack on women's reproductive rights, voters' rights, anti LGBTQ rights, etc, did they do ANYTHING to benefit the American people? (3)",
1521992578777952257,It seems you missed a key sentence. This isnt about abortion but about control. @SteveSchmidtSES,
1482739831461531657,RT Anti-abortion activists gather in Paris for new round of 'March for Life' LIVE: https://t.co/mnEemz8mDK #Paris #antiabortion #MarchForLife ,
1540846759370539010,"RT Members of the Wall of Vets take up the rear, creating a barrier between the Abortion-rights protesters and a group of Proud Boys during the second day of protests in Atlanta, Ga. For ",
1515329757587685376,"I am not confusing issues. I am pro-choice. Even cadavers have the right not to share their organs. I have a right to my own body. Incidentally I almost died for my baby and chose to let her live at great cost (she died anyways), but that was MY choice, & that is the whole point.",
1538361396588593152,"Most people that have any knowledge of science or medicine at this point are thinking.... ""most of them will die before they hit 18....stupid is as stupid does... survival of the fittest...I'm making bank baby!!..This is so much easier than abortion!!""",
1461473948625866752,"RT Enemy of The People. And as American hispanics, we support Conservative Christian Values & do not support the stol",
1469007988136550400,Worrying too much with what people do or who people are leads to atrocities even worse. (Soviet communism & European Holocaust). But you did make a great pro-life case with that second sentence. So thats pretty rad.,
1524855632398106629,"Vaush was clearly referencing laws to ban abortion and contraception (like in Mississippi), both of which he's talked about recently. Roe being overturned isn't forcing birth, the laws that states will pass are. That's a great attempt though, you almost had something that time.",
1488964002436763650,"RT Today, nearly 450 Florida clinicians from across the state, spanning the spectrum of care, sent an open letter to state lawmakers with the simple message - abortion bans like #SB146 and #HB5 harm the communities we care for. ",
1457938293652262913,Birth control is on every corner. Quit acting like its the fifties.,
1535215311087091712,"Madam contraceptive pills are not drugs you can self-medicate on your own, go and see a doctor.",
1485333149991190529,"Giving a baby up for adoption is a major undertaking with lifelong consequences. To the extent there's guilt in abortion and guilt in adoption, to me it's the height of arrogance to enact laws forcing women to endure one form of guilt over another.",
1495086727136006153,"That mumbo jumbo is part of the current culture, not the party. Republicans spend more time on these issues as a whole anyway. They wasted a billion dollars on their failed war against gay marriage. Now it's the fake CRT, ""don't say gay"", trans athletes, abortion.",
1524529270881722368,What gave it away?! I hope yall do know Im a strong support of Roe V. Wade! ,
1466844900578709511,"RT Lord, give me the confidence of an overly paid, mediocre, cis, white, liberal man who has a take about abortion rights. ",
1512087296140451854,RT A Tale of Two States: Colorado and Oklahoma Pass Polar Opposite Abortion Laws and Reveal the Nations Divide on the Issue #TheBriefing ,
1526257241396871168,RT Lets ban abortion in every state so women will go on sex strikes which will lead to them not wanting abortions,
1531671787032834048,"RT Liberals Condemn Tragic Shooting as Child Sacrifice, But Support the Child Sacrifice of Abortion ",
1447771012389433344,RT A Pro-Choice Hacking Team Defaced the Texas GOP Website. So We DMd Them via @RollingStone,
1531057342166536192,Yeah just procreate more kids into poverty so they have miserable lives so you can squeeze cheap labor out of them when they're adults. Shut about abortion or adopt a kid,
1451944978243112964,Agreed. This is the blue print of the anti-abortion movement. Both anti-choice and anti-trans activism is deeply patriarchal in its insistence on controlling womens bodies.,
1445164122249699333,"RT Thousands took the streets on Saturday for the annual Womens March, just days before the new SCOTUS term was set to begin.",
1532580953817751555,Ton of other ppl were openly supportive that theyd call law enforcement if the so much as thought a woman was going to get an abortion too,
1481977040970690564,"RT any reason that viability outside the womb is a bad determining point for abortion? Anything less than 13 weeks is an abomination since hormones are wreaking havoc on a woman's body for those weeks, and it is not a good time to make big decisions.",
1452491987010080771,"You think that ridiculousness is true? Why is Roe v. Wade always on the table in US politics if church and state are separate? From a secular standpoint, access to abortion is important for basic healthcare and safety. Anything else is religion dictating laws.",
1496956176419803137,"Because white people run it,gays aren't allowed and they keep the non-whites far away. Pretty simple,actually. Just don't tell them abortion is legal in Russia. And guns are illegal.",
1469473771992010756,RT Texas abortion ruling is a 'disaster' for the rule of law disguised as a 'fig leaf': Laurence Tribe ,
1524897823309058048,Some states have reporting requirements for abortion providers which includes age of the fetus; procedure used; the patients reason for abortion; fetal heartbeat detection; the method of payment etc. The study providing the 0.39% included 2.4 million aborting women.,
1532739653190791168,"RT Liberals are so for abortion and are scared to death that Roe V. Wade will be overturned because they know if abortion is illegal, all the social programs they are pushing will collapes due to they were never suppose to be for the masses. They must control the population!",
1511214570492370945,RT The new law guarantees access to reproductive care before and after pregnancy and bans local governments from imposing their own restrictions. ,
1519070388306812929,"I agree with you on Abortion rights, Im pro choice. But you need to let people say what they want in a Democracy to encourage civil discourse. Without it one side sets the narrative and eventually becomes more and more authoritarian right or left.",
1539599713539866624,"RT Todays candidate3: (Ver.10) For the U.S. Senate(NV). supports: Water conservation efforts Pay raise for firefighters Boosting supply chains Womens healthcare, including abortion/mental health Keep the steady keeper of Nevada #DemVoice1 #ONEV1 #BlueDot ",
1510402425781469184,"Abortion clinics, schools,libraries etc you knew that right ?",
1505995691541233667,RT Donald Trump selected as Supreme Court nominees (and the Senate fast-tracked the confirmation of) judges who were hand-picked by the Federalist Society to overturn Roe v. Wade. ,
1515842352606289923,"Fetus and Baby are semantics, meaning entirely different things.And because a Dr or Nobel Prize winner says fertilization begins the development of human life does not mean they are saying at any time of z/e/f stages it is a human being or baby or that abortion is murder.",
1463611688750653451,"Conservatives use Parliament to sow disinformation & perform political theatre. Pretending you & your fellow anti-choice anti-vax Christian Right extremists are actually working for constituents, is laughable. ",
1466883679771402248,"RT Indeed. This all prevents unwanted pregnancy, and reduces abortion levels.",
1511752294701973507,"RT Senator takes issue with a state being ""pro-life"" while having the death penalty. He also points out that is demeaning to get up in front of a room full of women and mothers and explain how pregnancy and development works.",
1523067199052730369,RT Abortion rights activists plan protests outside of Supreme Court justiceshomes ,
1514998469911527431,RT BREAKING: Kentucky has effectively suspended legal abortion access in the entire state as their new law forces providers to stop offering abortions until they can meet certain requirements. Write YES if YOU support a woman's right to choose and think Kentucky should be SUED!,
1446240651197050881,RT Attorney General Mark Brnovich wants a judge to let him start enforcing a law prohibiting certain abortions despite a federal court ruling which found it unconstitutional. via @azcapmedia,
1449295763155136512,So you approve of killing millions of innocent humans? The vast majority of these exterminated humans are only guilty of being an inconvenience. If you are pro-abortion you are an evil person.,
1479169758834704391,RT The soul of America? What total hypocrisy! You supported the destruction of America.your administration raised bail money for the criminals.Democrats KILLED the soul of America! GOD Doesnt support abortion! GFY ,
1523812253220319232,"RT Want to reduce abortions without stripping human rights? - Pay a living wage - Give women equal pay - Educate - Make birth control accessible & affordable If you're not fighting for any of these, all you want is to control women. You know it, we know it, & f u for it. #MyRights ",
1525211125050122242,"Im not engaging in whataboutism to dismiss the law here. My point is that its hypocritical to scream about peaceful protests regarding abortion while equally illegal violent protests and threats about COVID were excused - no, ENCOURAGED - by the same people barely 2 years ago.",
1494445790495920130,RT Great piece about the history of medication abortion and all the regulations surrounding it. ,
